productId,product_description,imgurl,producturl,stars,reviews,price,category_id,isbestseller,boughtinlastmonth,category_name,quantity,embedding
1         ,Sculptural ceramic vessel for housewarming and new-home milestones. Hand-thrown stoneware with an olive branch motif and matte ivory glaze; a lasting entryway or mantel piece for a new homeowner.,/products/fresh-olive-branch-vessel.png,/p/1,4.9,127,185,3,false,0,Home Decor,50,
2         ,"Airy, textured, and endlessly versatile. Cut from pure European linen with a relaxed silhouette and mother of pearl buttons.",/products/fresh-pellier-linen-shirt.png,/p/2,4.8,312,248,1,false,0,Apparel,50,
3         ,Full-grain leather weekend bag with canvas lining. Burnished brass hardware. The quiet kind of heft.,/products/fresh-nocturne-leather-weekender.png,/p/3,4.9,89,425,2,false,0,Accessories,50,
4         ,"Hand-poured soy candle with santal, fig leaf, and cedarwood. 60-hour burn time in a reusable amber glass vessel.",/products/fresh-santal-fig-candle.png,/p/4,4.7,445,92,3,false,0,Home Decor,50,
5         ,"Swiss movement, rectangular case in brushed steel. Italian leather strap in warm tan.",/products/fresh-heritage-rectangular-watch.png,/p/5,4.8,203,420,2,false,0,Accessories,50,
6         ,Cold-pressed neroli oil in a hand-blown apothecary bottle. For pulse points or a warm bath.,/products/fresh-neroli-apothecary-bottle.png,/p/6,4.6,178,78,4,false,0,Beauty,50,
7         ,Set of four hand-woven placemats in natural jute. Each one slightly different — the mark of handcraft.,/products/fresh-solstice-woven-mat-set.png,/p/7,4.5,92,145,3,false,0,Home Decor,50,
8         ,Two-piece lounge set in pre-washed European linen. Relaxed-fit top and drawstring trousers.,/products/fresh-alba-linen-lounge-set.png,/p/8,4.7,156,298,1,false,0,Apparel,50,
9         ,"Lightweight knit runner with cloud-foam midsole. Breathable, packable, built for all-day wear.",/products/fresh-cloudform-studio-runner.png,/p/9,4.6,234,165,5,false,0,Footwear,50,
10        ,"Washed canvas tote with leather handle straps. Roomy, lightweight, universally appealing.",/products/fresh-linen-tote-bag.png,/p/10,4.5,310,68,2,false,0,Accessories,50,
11        ,"Camp-collar shirt in deep indigo European linen. Relaxed fit, mother of pearl buttons, pre-washed softness.",/products/marco-linen-camp-shirt-indigo.png,/p/11,4.8,287,228,1,false,0,Apparel,50,
12        ,Waxed canvas dopp kit with brass YKK zipper. Water-resistant lining. Sized for a carry-on.,/products/marco-canvas-dopp-kit.png,/p/12,4.7,198,85,2,false,0,Accessories,50,
